orias,siren,nom
951731223,951731223,
880789375,880789375,
984502930,984502930,
982383226,982383226,
982300352,982300352,
981534837,981534837,
982347221,982347221,
982923765,982923765,
981671688,981671688,
983150236,983150236,
982425068,982425068,
953895000,953895000,
981768385,981768385,
981971609,981971609,
980883615,980883615,
980133466,980133466,
983511171,983511171,
884250424,884250424,
981308711,981308711,
983285420,983285420,
983344847,983344847,
980477673,980477673,
981775745,981775745,
981261720,981261720,
982665002,982665002,
979461050,979461050,
982539934,982539934,
979923406,979923406,
982605735,982605735,
982120388,982120388,
953634524,953634524,
982886301,982886301,
983357773,983357773,
979263126,979263126,
983343112,983343112,
890009087,890009087,
983370214,983370214,
983096678,983096678,
981306491,981306491,
982563082,982563082,
983634734,983634734,
924877988,924877988,
981620925,981620925,
982787103,982787103,
983578998,983578998,
981950983,981950983,
984609479,984609479,
982442402,982442402,
788442176,788442176,
983113408,983113408,
803660745,803660745,
980083562,980083562,
522450956,522450956,
984388520,984388520,
983191529,983191529,
981305725,981305725,
809620016,809620016,
983655952,983655952,
983642497,983642497,
984583625,984583625,
987726106,987726106,
982025918,982025918,
982578619,982578619,
981475486,981475486,
980664189,980664189,
981626351,981626351,
980865729,980865729,
978774883,978774883,
981445679,981445679,
982766461,982766461,
982082067,982082067,
982401044,982401044,
982275885,982275885,
983357914,983357914,
983106378,983106378,
901663807,901663807,
948304308,948304308,
982177586,982177586,
983815135,983815135,
951404656,951404656,
980903124,980903124,
952364776,952364776,
522912633,522912633,
981708381,981708381,
982693673,982693673,
980068860,980068860,
904491487,904491487,
981729411,981729411,
982344194,982344194,
918825878,918825878,
980741680,980741680,
981249352,981249352,
895128270,895128270,
983096207,983096207,
980858963,980858963,
981198708,981198708,
982684805,982684805,
982822363,982822363,
978180198,978180198,
983312885,983312885,
981420078,981420078,
983698077,983698077,
980768402,980768402,
909186926,909186926,
982322653,982322653,
908460819,908460819,
902544964,902544964,
488945031,488945031,
983437310,983437310,
979438967,979438967,
803414796,803414796,
950815233,950815233,
952455186,952455186,
981686017,981686017,
983248592,983248592,
978697936,978697936,
984001933,984001933,
983657354,983657354,
951381789,951381789,
984141945,984141945,
983477308,983477308,
983754557,983754557,
951780139,951780139,
983808650,983808650,
512341645,512341645,
981486434,981486434,
983939711,983939711,
981618754,981618754,
983842741,983842741,
450046727,450046727,
911302503,911302503,
984394940,984394940,
921579827,921579827,
983643867,983643867,
981854029,981854029,
984652248,984652248,
983082868,983082868,
983568742,983568742,
980095004,980095004,
983338013,983338013,
984691642,984691642,
513170910,513170910,
980734347,980734347,
844469221,844469221,
984507590,984507590,
980434336,980434336,
978454270,978454270,
978200939,978200939,
984795641,984795641,
982493397,982493397,
984120501,984120501,
983236936,983236936,
983999863,983999863,
981582950,981582950,
920515541,920515541,
920645975,920645975,
981073745,981073745,
984723429,984723429,
983199449,983199449,
921136222,921136222,
984207746,984207746,
987409604,987409604,
925138273,925138273,
984533406,984533406,
980487771,980487771,
981663503,981663503,
788705648,788705648,
480428242,480428242,
831618335,831618335,
984921643,984921643,
877684662,877684662,
924920747,924920747,
985308121,985308121,
984448605,984448605,
888219912,888219912,
847749819,847749819,
982773327,982773327,
983173626,983173626,
984688184,984688184,
984632778,984632778,
977760230,977760230,
981672660,981672660,
982938813,982938813,
982828303,982828303,
983082686,983082686,
983675026,983675026,
983799966,983799966,
979562725,979562725,
984901694,984901694,
982809659,982809659,
984937268,984937268,
982078735,982078735,
984532010,984532010,
984350223,984350223,
983149881,983149881,
984743781,984743781,
984478743,984478743,
985378215,985378215,
984346437,984346437,
982831174,982831174,
985228030,985228030,
982758310,982758310,
